28,28,28,30,30,30,30,30,1,3,3,1,3,1,1,2,3,5,1,2,1,2
28,28,30,1,3,1,34,1,1,36,34,1,1,34,1,2,34,26,1,3,3,2
30,30,1,171,1,3,1,1,1,1,1,1,1,16,3,1,1,26,1,1,34,1
2,1,1,1,1,29,29,34,107,1,2,3,18,20,112,1,1,10,8,118,1,1
2,110,115,105,34,30,30,104,106,1,1,34,20,2,1,1,3,3,10,4,4,8
34,1,1,103,113,105,36,114,1,1,1,1,2,1,1,1,1,3,34,1,34,5
1,3,1,112,1,103,102,106,1,34,19,1,2,3,34,1,1,1,1,1,2,10
2,3,3,1,18,15,15,19,3,3,21,15,19,1,3,3,2,1,1,1,1,35
2,34,1,1,16,1,34,21,15,19,112,1,16,1,120,1,1,34,1,1,1,1
1,1,1,1,34,1,1,174,1,16,1,112,21,15,19,34,1,16,1,1,34,2
35,1,1,1,1,2,3,3,1,21,15,19,3,3,21,15,15,20,1,3,3,2
8,2,1,1,1,1,1,34,3,2,1,21,34,1,104,102,105,1,112,1,3,1
5,34,1,34,3,1,1,1,1,2,1,1,1,1,114,36,103,113,105,1,1,34
10,4,4,8,3,3,1,1,2,18,34,1,1,104,106,29,29,34,103,115,108,2
1,1,171,10,8,1,1,112,18,20,3,2,1,109,34,30,30,1,1,1,1,2
1,34,1,1,26,1,1,3,16,1,1,1,1,1,1,1,3,1,118,1,29,29
2,3,3,1,26,34,2,1,34,1,1,34,36,1,1,34,1,3,1,29,28,28
2,1,2,1,5,3,2,1,1,3,1,3,3,1,29,29,29,29,29,28,28,28
