2,16,1,3,1,34,1,3,2,3,5,34,112,1,1,2,16,1,3,1,34,1,3,2,3,5,34,112,1,1,2,16,1,3,1,34,1,3,2,3
1,42,112,1,34,16,1,1,1,1,26,21,1,3,1,1,42,112,1,34,16,1,1,1,1,26,19,1,3,1,1,42,112,1,34,16,1,1,1,1
1,20,15,18,1,16,3,1,34,3,5,1,3,34,3,1,20,15,18,1,16,3,1,34,3,5,1,3,34,3,1,20,15,18,1,16,3,1,34,3
1,1,1,16,1,27,27,4,27,27,10,1,1,16,1,1,1,1,16,1,27,27,4,27,27,8,1,1,16,1,1,1,1,16,1,27,27,4,27,27
34,1,1,39,31,3,1,1,3,16,1,1,34,23,1,34,1,1,39,31,3,1,1,3,16,1,1,34,25,1,34,1,1,39,31,3,1,1,3,16
1,3,1,1,31,1,1,34,1,16,1,1,1,16,2,1,3,1,1,31,1,1,34,1,16,1,1,1,16,2,1,3,1,1,31,1,1,34,1,16
1,1,34,29,34,36,1,2,1,18,44,1,3,18,35,1,1,34,29,34,36,1,2,1,20,39,1,3,20,35,1,1,34,29,34,36,1,2,1,18
20,1,2,1,36,34,30,34,1,1,35,20,3,1,39,20,1,2,1,36,34,30,34,1,1,35,18,3,1,44,18,1,2,1,36,34,30,34,1,1
16,1,34,1,1,32,1,1,3,1,2,16,1,1,1,16,1,34,1,1,32,1,1,3,1,2,16,1,1,1,16,1,34,1,1,32,1,1,3,1
16,3,1,1,3,32,44,1,1,34,1,25,34,1,1,16,3,1,1,3,32,44,1,1,34,1,23,34,1,1,16,3,1,1,3,32,44,1,1,34
27,27,4,27,27,1,16,1,1,1,1,16,1,1,10,27,27,4,27,27,1,16,1,1,1,1,16,1,1,8,27,27,4,27,27,1,16,1,1,1
3,34,1,3,16,1,20,15,18,1,3,34,3,1,5,3,34,1,3,16,1,20,15,18,1,3,34,3,1,5,3,34,1,3,16,1,20,15,18,1
1,1,1,1,16,34,1,112,47,1,1,3,1,21,26,1,1,1,1,16,34,1,112,47,1,1,3,1,19,26,1,1,1,1,16,34,1,112,47,1
3,2,3,1,34,1,3,1,16,2,1,1,112,34,5,3,2,3,1,34,1,3,1,16,2,1,1,112,34,5,3,2,3,1,34,1,3,1,16,2
1,34,15,15,21,19,15,15,34,1,8,27,27,27,8,1,34,15,15,19,21,15,15,34,1,8,27,27,27,10,1,34,15,15,21,19,15,15,34,1
2,16,1,3,1,34,1,3,2,3,5,34,112,1,1,2,16,1,3,1,34,1,3,2,3,5,34,112,1,1,2,16,1,3,1,34,1,3,2,3
1,42,112,1,34,16,1,1,1,1,26,21,1,3,1,1,47,112,1,34,16,1,1,1,1,26,21,1,3,1,1,42,112,1,34,16,1,1,1,1
1,20,15,18,1,16,3,1,34,3,5,1,3,34,3,1,18,15,20,1,16,3,1,34,3,5,1,3,34,3,1,20,15,18,1,16,3,1,34,3
1,1,1,16,1,27,27,4,27,27,10,1,1,16,1,1,1,1,16,1,27,27,4,27,27,10,1,1,16,1,1,1,1,16,1,27,27,4,27,27
34,1,1,39,31,3,1,1,3,16,1,1,34,23,1,34,1,1,44,32,3,1,1,3,16,1,1,34,25,1,34,1,1,39,31,3,1,1,3,16
1,3,1,1,31,1,1,34,1,16,1,1,1,16,2,1,3,1,1,32,1,1,34,1,16,1,1,1,16,2,1,3,1,1,31,1,1,34,1,16
1,1,34,29,34,36,1,2,1,18,44,1,3,18,35,1,1,34,30,34,36,1,2,1,20,39,1,3,20,35,1,1,34,29,34,36,1,2,1,20
18,1,2,1,36,34,30,34,1,1,35,20,3,1,39,20,1,2,1,36,34,29,34,1,1,35,18,3,1,44,18,1,2,1,36,34,30,34,1,1
16,1,34,1,1,32,1,1,3,1,2,16,1,1,1,16,1,34,1,1,31,1,1,3,1,2,16,1,1,1,16,1,34,1,1,32,1,1,3,1
16,3,1,1,3,32,44,1,1,34,1,25,34,1,1,16,3,1,1,3,31,39,1,1,34,1,23,34,1,1,16,3,1,1,3,32,44,1,1,34
27,27,4,27,27,1,16,1,1,1,1,16,1,1,10,27,27,4,27,27,1,16,1,1,1,1,16,1,1,8,27,27,4,27,27,1,16,1,1,1
3,34,1,3,16,1,20,15,18,1,3,34,3,1,5,3,34,1,3,16,1,18,15,20,1,3,34,3,1,5,3,34,1,3,16,1,20,15,18,1
1,1,1,1,16,34,1,112,47,1,1,3,1,21,26,1,1,1,1,16,34,1,112,42,1,1,3,1,19,26,1,1,1,1,16,34,1,112,47,1
3,2,3,1,34,1,3,1,16,2,1,1,112,34,5,3,2,3,1,34,1,3,1,16,2,1,1,112,34,5,3,2,3,1,34,1,3,1,16,2
1,34,15,15,19,21,15,15,34,1,8,27,27,27,8,1,34,15,15,21,19,15,15,34,1,10,27,27,27,10,1,34,15,15,19,21,15,15,34,1
2,16,1,3,1,34,1,3,2,3,5,34,112,1,1,2,16,1,3,1,34,1,3,2,3,5,34,112,1,1,2,16,1,3,1,34,1,3,2,3
1,42,112,1,34,16,1,1,1,1,26,21,1,3,1,1,47,112,1,34,16,1,1,1,1,26,19,1,3,1,1,42,112,1,34,16,1,1,1,1
1,20,15,18,1,16,3,1,34,3,5,1,3,34,3,1,18,15,20,1,16,3,1,34,3,5,1,3,34,3,1,20,15,18,1,16,3,1,34,3
1,1,1,16,1,27,27,4,27,27,10,1,1,16,1,1,1,1,16,1,27,27,4,27,27,8,1,1,16,1,1,1,1,16,1,27,27,4,27,27
34,1,1,39,31,3,1,1,3,16,1,1,34,23,1,34,1,1,44,32,3,1,1,3,16,1,1,34,25,1,34,1,1,39,31,3,1,1,3,16
1,3,1,1,31,1,1,34,1,16,1,1,1,16,2,1,3,1,1,32,1,1,34,1,16,1,1,1,16,2,1,3,1,1,31,1,1,34,1,16
1,1,34,29,34,36,1,2,1,18,44,1,3,18,35,1,1,34,30,34,36,1,2,1,20,39,1,3,20,35,1,1,34,29,34,36,1,2,1,20
20,1,2,1,36,34,30,34,1,1,35,20,3,1,39,20,1,2,1,36,34,29,34,1,1,35,18,3,1,44,18,1,2,1,36,34,30,34,1,1
16,1,34,1,1,32,1,1,3,1,2,16,1,1,1,16,1,34,1,1,31,1,1,3,1,2,16,1,1,1,16,1,34,1,1,32,1,1,3,1
16,3,1,1,3,32,44,1,1,34,1,25,34,1,1,16,3,1,1,3,31,39,1,1,34,1,23,34,1,1,16,3,1,1,3,32,44,1,1,34
