28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
28,28,28,28,28,2,2,3,1,1,1,3,3,28,28,28,28,28,28
28,28,28,1,2,2,2,3,34,43,43,1,3,3,3,28,28,28,28
28,28,1,1,1,2,2,3,1,1,1,1,1,1,3,3,28,28,28
28,28,3,34,35,3,2,3,3,43,43,1,44,47,44,3,28,28,28
28,28,1,3,16,1,3,1,18,15,15,15,15,44,1,1,1,28,28
28,28,28,1,16,1,2,3,16,1,1,1,1,16,1,1,3,28,28
28,28,28,38,16,34,2,2,21,34,3,3,43,16,1,43,3,28,28
28,28,28,1,16,1,3,2,3,3,3,3,3,16,43,3,3,28,28
28,28,3,1,16,1,1,3,3,2,2,2,2,3,2,2,2,28,28
28,28,3,39,16,1,1,1,1,2,2,3,3,16,3,2,2,28,28
28,28,1,1,42,39,15,39,15,15,15,15,15,20,3,2,28,28,28
28,28,1,1,1,3,3,1,1,1,1,1,1,1,3,1,28,28,28
28,28,28,1,1,1,3,3,1,38,38,34,35,1,1,28,28,28,28
28,28,28,28,28,28,1,3,3,3,3,1,1,28,28,28,28,28,28
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
