3,1,1,3,2,3,1,36,1,107,32,28,44,32,28,28,30,29,29,2,3,1,34
2,1,44,15,34,1,1,16,3,114,32,29,28,28,28,28,37,19,1,1,1,1,16
1,1,16,1,1,1,1,16,1,103,105,30,30,29,29,30,1,34,15,15,35,15,20
34,15,24,15,24,15,34,20,1,1,103,115,108,3,34,1,1,1,3,1,16,1,1
1,3,1,112,1,1,1,3,1,34,15,19,1,1,1,2,112,1,1,1,16,2,3
1,1,2,1,47,1,1,1,1,3,1,21,34,1,29,1,1,3,1,34,20,1,1
1,34,3,1,21,15,15,19,112,1,2,1,3,1,1,34,1,1,1,1,1,18,34
1,16,1,1,1,1,1,16,1,1,34,112,1,1,1,16,1,1,2,1,3,16,1
1,16,1,1,2,3,1,133,1,1,16,1,1,2,3,25,15,34,1,2,1,16,2
1,25,34,1,1,1,1,16,1,1,21,145,19,1,1,16,1,1,1,1,34,23,1
2,16,1,2,1,34,15,23,3,2,1,1,16,1,1,133,1,3,2,1,1,16,1
1,16,3,1,2,1,1,16,1,1,1,112,34,1,1,16,1,1,1,1,1,16,1
34,20,1,1,1,1,1,34,1,1,3,1,2,1,112,21,15,15,19,1,3,34,1
1,1,18,34,1,3,1,1,30,1,34,19,1,3,1,1,1,1,42,1,2,1,1
3,2,16,1,1,1,112,2,1,1,1,21,15,34,1,3,1,1,1,112,1,3,1
1,1,16,1,3,1,1,1,34,3,110,115,105,1,1,18,34,15,22,15,22,15,34
18,15,35,15,15,34,1,29,30,30,29,29,103,105,1,16,1,1,1,1,16,1,1
16,1,1,1,1,21,37,28,28,28,28,30,31,114,3,16,1,1,43,15,39,1,2
34,1,3,2,30,30,29,28,28,31,39,28,31,109,1,36,1,3,2,3,1,1,3
