28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
28,28,28,28,28,1,1,1,34,34,1,1,1,3,2,28,28,28,28,28,28,28,28,28,28
28,28,3,3,1,1,1,1,1,3,3,3,3,3,1,1,1,28,28,28,28,28,28,28,28
28,3,1,1,1,1,1,3,3,3,28,28,3,3,1,1,1,1,1,28,28,28,28,28,28
28,34,1,2,2,1,38,1,39,15,15,15,15,15,15,19,34,34,1,1,1,28,28,28,28
28,28,36,1,1,39,1,42,1,39,1,1,29,29,29,21,15,15,15,15,15,19,28,28,28
28,28,28,28,28,1,39,1,38,3,1,29,28,28,28,29,1,1,38,3,3,16,3,28,28
28,28,28,28,28,29,29,29,29,29,29,28,28,28,28,28,28,38,1,2,2,16,3,3,28
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2,2,16,3,3,28
28,28,28,28,28,28,28,28,28,28,28,28,28,28,33,28,28,28,28,2,2,16,3,3,28
28,28,1,1,1,28,28,28,28,28,33,28,28,28,28,28,33,28,28,2,1,16,3,1,28
28,1,1,35,1,37,28,28,28,28,28,28,28,28,28,28,28,28,28,28,37,35,19,34,28
28,1,36,1,44,16,1,32,28,33,28,28,28,33,28,28,28,28,28,28,1,1,16,1,28
28,1,1,1,3,16,44,32,28,28,28,28,28,28,28,33,28,28,31,3,1,36,16,1,34
28,28,3,3,3,16,1,32,28,28,28,28,28,28,28,28,28,28,31,3,3,1,16,34,3
28,28,3,3,34,16,1,32,28,28,3,46,1,46,1,28,28,31,3,3,34,34,16,1,3
28,1,3,3,34,16,34,28,28,1,45,44,47,44,45,28,28,31,3,28,28,3,16,3,3
28,1,3,1,1,16,34,28,28,1,1,1,44,1,32,28,28,31,1,3,3,3,16,1,3
28,1,1,1,1,16,1,1,28,1,1,1,16,1,30,30,30,30,1,3,1,1,16,1,3
1,3,3,3,1,16,3,1,1,1,1,34,16,3,1,1,1,1,34,1,34,34,16,1,3
3,3,3,3,3,21,15,15,15,15,15,15,24,15,15,15,15,15,15,15,15,15,20,1,1
3,3,3,3,3,1,1,34,34,1,1,1,3,34,3,3,1,1,3,3,3,3,1,1,1
