28,28,28,2,2,2,1,2,2,34,3,32,31,3,34,2,28,28,28,33,28
28,2,2,2,2,3,123,1,3,2,1,32,31,3,2,28,28,28,28,28,28
2,2,2,34,1,1,1,2,34,1,1,34,28,28,28,28,30,28,28,28,28
28,37,1,3,1,7,27,8,2,2,1,3,3,2,32,31,34,32,28,28,28
28,4,27,4,27,9,34,10,8,3,1,1,3,34,32,31,167,32,28,33,28
28,3,1,1,1,2,3,2,10,8,34,1,1,1,32,31,164,32,28,28,28
28,2,34,3,1,1,1,34,2,10,8,3,1,2,32,31,3,32,28,28,33
28,2,2,2,1,36,1,1,3,1,26,1,1,3,32,28,29,28,33,28,28
28,31,2,1,1,1,3,1,1,34,5,3,34,3,30,30,30,30,28,28,28
28,31,2,3,7,27,27,8,164,7,9,1,2,1,1,3,5,1,32,28,33
28,31,3,34,5,1,34,10,4,9,145,7,4,8,34,1,5,34,3,32,28
33,28,31,1,5,3,1,1,2,1,7,9,123,10,27,27,9,3,2,32,28
28,28,28,29,29,29,29,3,34,3,5,34,1,1,3,1,1,1,2,32,28
28,28,33,28,30,28,31,3,1,1,26,1,3,1,1,36,1,2,2,2,28
33,28,28,31,3,32,31,2,1,3,10,8,2,34,1,1,1,3,34,2,28
28,28,28,31,123,32,31,1,1,1,34,10,8,2,3,2,1,1,1,3,28
28,33,28,31,125,32,31,34,3,1,1,3,10,8,34,7,27,4,27,4,28
28,28,28,31,165,32,31,2,3,3,1,2,2,10,27,9,1,3,1,37,28
28,28,28,28,29,28,28,28,28,34,1,1,34,2,1,1,1,34,2,2,2
28,28,28,28,28,28,2,3,32,31,1,2,3,1,164,3,2,2,2,2,28
28,33,28,28,28,2,34,3,32,31,3,34,2,2,1,2,2,2,28,28,28
