3,1,3,1,3,32,28,28,28,28,28,2,3,3,3,3,3,3,3,2,3,3,3,1,1,3
34,1,36,29,29,28,28,30,28,28,28,28,28,3,34,34,2,2,3,3,1,1,1,43,1,1
1,37,3,32,28,28,31,1,32,28,28,28,28,28,29,29,28,1,45,22,44,47,44,15,19,43
1,28,29,28,28,28,31,3,34,32,28,28,28,28,28,28,28,28,28,21,46,44,1,45,16,1
29,28,28,28,28,28,28,31,1,36,32,28,28,28,28,28,28,28,28,28,28,1,1,1,16,1
28,28,28,33,28,28,28,28,29,29,28,28,28,30,28,28,28,33,28,28,28,28,28,1,16,43
28,28,28,28,28,28,28,28,28,33,28,28,31,3,30,30,28,28,28,28,28,28,28,43,16,1
28,28,28,28,28,33,28,28,28,28,33,28,31,3,1,2,32,28,28,28,28,28,28,3,16,43
28,28,28,28,28,28,28,28,28,28,28,28,31,34,35,2,2,32,28,28,33,28,28,1,16,1
28,28,28,1,1,28,28,28,28,28,28,28,28,31,1,2,2,3,32,28,28,28,28,2,16,1
1,41,1,3,3,38,1,1,28,28,28,28,28,28,29,31,2,37,28,28,28,28,31,3,16,3
38,15,15,15,15,15,15,19,3,28,28,28,28,28,28,31,1,1,32,28,28,28,31,1,16,34
1,38,39,1,1,2,1,16,1,1,32,28,28,28,28,28,31,36,32,28,28,31,18,15,20,1
1,1,3,3,2,2,3,16,39,40,1,32,28,33,28,28,28,29,28,28,28,31,35,1,3,3
1,42,3,2,2,2,3,21,15,19,36,1,32,28,28,28,28,28,28,28,31,3,1,36,34,2
3,3,2,2,2,2,2,38,39,16,1,37,28,28,28,28,28,33,28,28,28,37,2,2,2,2
