36,1,2,1,18,44,1,3,18,35,1,1,34,30,34
1,1,34,1,16,1,1,1,16,2,1,3,1,1,32
3,1,1,3,16,1,1,34,23,1,34,1,1,44,32
27,27,4,27,27,8,1,1,16,1,1,1,1,16,1
16,3,1,34,3,5,1,3,34,3,1,18,15,20,1
16,1,1,1,1,26,19,1,3,1,1,47,112,1,34
34,1,3,2,3,5,34,112,1,1,2,16,1,3,1
21,15,15,34,1,10,27,27,27,8,1,34,15,15,19
1,3,1,16,2,1,1,112,34,5,3,2,3,1,34
34,1,112,42,1,1,3,1,21,26,1,1,1,1,16
1,18,15,20,1,3,34,3,1,5,3,34,1,3,16
1,16,1,1,1,1,16,1,1,10,27,27,4,27,27
31,39,1,1,34,1,25,34,1,1,16,3,1,1,3
31,1,1,3,1,2,16,1,1,1,16,1,34,1,1
34,29,34,1,1,35,20,3,1,39,20,1,2,1,36
